CIP1,CIP2,CIP3,LIBELLE,CESSION,PUBLIC,CODTVA
1605111,9100001605111,3000000875698.0,FLUOXINE 750MG CP B/10,2138,2865,0
1142761,9100001142761,8455384.0,FLUPEX 200MG CP B/10,1086,1455,0
8150064,9100000969371,3000000261798.0,FLURIFEN 100MG CP B/15,1871,2505,0
3234017,3400932340170,,FLUVERMAL CP B/6,1791,2400,0
2252220,9100000333961,2252220.0,FLUZON 150 CP B/2,1889,2530,0
8715490,9100001491531,,FLUZYN 20MG GELU B/30,3020,4050,0
1670561,3000000948804,3000000948804.0,FOCE 100MG CPR B/10,2757,3695,0
1670571,3000000948811,3000000948811.0,FOCE 200MG CPR B/10,3447,4620,0
2263063,9100000130281,,FOLIFER CP B/60,3274,4390,0
1341691,9100001341691,3000000629598.0,FONGICEL 100MG GEL B/4,2586,3465,0
1779381,3000001204183,3000000374122.0,FORCAN 150MG CAPS B/1,883,1180,0
8146341,9100000949051,,FORTALINE PLUS 500 CAPS /20,2684,0,2
3774848,3400937748483,3774848.0,"FORTZAAR 100MG/12,5MG CP B/28",4899,6570,0
3518625,3400935186256,3518625.0,FORTZAAR 100MG/25MG CP B/28,5162,6920,0
1773591,5000456074650,,FORXIGA 10MG CP B/30       AFR,10296,13805,0
1313871,9100001313871,,FOURTS B CAPS B/30,2176,2920,0
9001828,9100001181661,9001828.0,FRIDIAL 30MG CP B/20,1708,2290,0
3159333,3400931593331,,FRUCTINES TABL B/30,1752,2345,0
1326301,3990000007710,3990000007710.0,FUCANOL 500MG GELU B/12,1483,1985,0
3676637,3400936766372,3676637.0,FUCIDINE 250MG CP PELLI B/10,6794,9110,0
2256933,9100000647031,8003417.0,FUCLO 500MG GELU B/24,2653,3555,0
3041809,3400930418093,,FUMAFER CP B/100,1382,1850,0
1593921,9100001593921,,FUNDU 100MG+60MG CP B/4,3860,5175,0
3296449,3400932964499,,FURADANTINE 50MG GELU F/21,2314,3100,0
2291875,9100000412041,,FURO DENK 40 CP BL/100,4994,6695,0
1877131,9100001877131,,G CLOX 500MG GELU B/10,578,775,0
1877791,9100001877791,,GABAR 25MG CP B/56,4786,6415,0
1877801,9100001877801,,GABAR 75MG CP B/56,17309,23210,0
8440402,3000000566435,3000000566435.0,GABEN 75MG/750MG GELU B/10X10,5704,7650,0
2475520,9100001588391,,GAGNERVE BT CP B/30,5199,6970,0
2475522,9100001541291,,GAGNERVE P CP B/30,7293,9780,0
8168609,3000000302149,3000000302149.0,GALOCID 40MG CP B/100,2619,3510,0
